week_start,week_end,feature,psi,ks_statistic,ks_p_value,drift_detected
2024-02-01,2024-02-08,lag_168h,0.012978246594700382,0.052577564601158144,1.2578286676335529e-06,True
2024-02-01,2024-02-08,hour,3.656502932645607e-05,0.0017392619479733792,1.0,False
2024-02-01,2024-02-08,lag_24h,0.008043947248145198,0.033178852303171746,0.006743450242525329,True
2024-02-01,2024-02-08,lag_1h,0.004692274940724064,0.02443663036902599,0.09083604385056487,False
2024-02-01,2024-02-08,zone_id,0.0,0.0,1.0,False
2024-02-08,2024-02-15,lag_168h,0.017168095647295437,0.05462038717483364,4.061207567162184e-07,True
2024-02-08,2024-02-15,hour,3.656502932645607e-05,0.0017392619479733792,1.0,False
2024-02-08,2024-02-15,lag_24h,0.004346596290503309,0.014664894996110955,0.6315150796877078,False
2024-02-08,2024-02-15,lag_1h,0.006062812299662185,0.017696720248898123,0.39096708780727296,False
2024-02-08,2024-02-15,zone_id,0.0,0.0,1.0,False
2024-02-15,2024-02-22,lag_168h,0.010174820358556626,0.039790748422781186,0.0005588814907750808,True
2024-02-15,2024-02-22,hour,3.656502932645607e-05,0.0017392619479733792,1.0,False
2024-02-15,2024-02-22,lag_24h,0.007752958197743928,0.03780140005185373,0.0012397590599791163,True
2024-02-15,2024-02-22,lag_1h,0.003204896334518643,0.018831561662777663,0.3167165589959692,False
2024-02-15,2024-02-22,zone_id,0.0,0.0,1.0,False
2024-02-22,2024-02-29,lag_168h,0.013417264790887356,0.048570240255811914,1.0193252256056764e-05,True
2024-02-22,2024-02-29,hour,3.656502932645607e-05,0.0017392619479733792,1.0,False
2024-02-22,2024-02-29,lag_24h,0.011842764066207576,0.04344427880044943,0.0001163147512480282,True
2024-02-22,2024-02-29,lag_1h,0.010336459399255739,0.04541094114596833,4.7196501122955246e-05,True
2024-02-22,2024-02-29,zone_id,0.0,0.0,1.0,False
2024-02-29,2024-03-07,lag_168h,0.029783684039142423,0.0695515728977617,2.8228077815805406e-11,True
2024-02-29,2024-03-07,hour,3.656502932645607e-05,0.0017392619479733792,1.0,False
2024-02-29,2024-03-07,lag_24h,0.04293742251206347,0.08891409558378705,3.660188737881619e-18,True
2024-02-29,2024-03-07,lag_1h,0.039135499886962015,0.08891031457955234,3.6729377648619295e-18,True
2024-02-29,2024-03-07,zone_id,0.0,0.0,1.0,False
2024-03-07,2024-03-14,lag_168h,0.07128309767193163,0.11121823956442833,3.378574096593253e-28,True
2024-03-07,2024-03-14,hour,3.656502932645607e-05,0.0017392619479733792,1.0,False
2024-03-07,2024-03-14,lag_24h,0.06487981784476383,0.10952218909342326,2.3501485239729025e-27,True
2024-03-07,2024-03-14,lag_1h,0.04732522449475665,0.09503716187019273,1.079407460974077e-20,True
2024-03-07,2024-03-14,zone_id,0.0,0.0,1.0,False
2024-03-14,2024-03-21,lag_168h,0.07994224119427643,0.12455438164376453,2.8104799345174363e-35,True
2024-03-14,2024-03-21,hour,3.656502932645607e-05,0.0017392619479733792,1.0,False
2024-03-14,2024-03-21,lag_24h,0.06273239718904658,0.10605500821018066,1.1283089712922196e-25,True
2024-03-14,2024-03-21,lag_1h,0.0525483149352186,0.09830178895514652,4.118499999030041e-22,True
2024-03-14,2024-03-21,zone_id,0.0,0.0,1.0,False
2024-03-21,2024-03-28,lag_168h,0.08073381404803885,0.1258626091089794,5.135338930862222e-36,True
2024-03-21,2024-03-28,hour,3.656502932645607e-05,0.0017392619479733792,1.0,False
2024-03-21,2024-03-28,lag_24h,0.03792719705100914,0.08823837611269547,6.797540368280633e-18,True
2024-03-21,2024-03-28,lag_1h,0.0309319891848997,0.07719676346037507,8.576794610051913e-14,True
2024-03-21,2024-03-28,zone_id,0.0,0.0,1.0,False
2024-03-28,2024-04-01,lag_168h,0.07914108440113106,0.11504556110102837,2.6194145264753986e-19,True
2024-03-28,2024-04-01,hour,3.656502932645607e-05,0.0017392619479733792,1.0,False
2024-03-28,2024-04-01,lag_24h,0.06577648844390609,0.10840611766485175,3.4561533641946877e-17,True
2024-03-28,2024-04-01,lag_1h,0.05056282286487235,0.0675145568663037,6.345225382216643e-07,True
2024-03-28,2024-04-01,zone_id,0.0,0.0,1.0,False
